iter	Passed	Remaining
0	3	1665
1	7	1576
2	8	1270
3	10	1136
4	12	1082
5	13	1017
6	15	972
7	16	934
8	18	925
9	20	904
10	22	911
11	24	905
12	27	918
13	29	906
14	30	888
15	32	877
16	33	865
17	35	854
18	37	844
19	38	837
20	40	825
21	42	817
22	43	807
23	44	797
24	46	791
25	48	784
26	50	783
27	51	778
28	53	770
29	54	763
30	56	758
31	57	751
32	59	750
33	61	747
34	63	750
35	64	745
36	66	742
37	68	738
38	69	733
39	71	728
40	72	725
41	74	721
42	75	719
43	77	718
44	79	715
45	80	711
46	82	707
47	83	703
48	87	714
49	90	722
50	92	723
51	94	720
52	95	716
53	97	712
54	98	708
55	100	704
56	101	703
57	103	699
58	105	697
59	106	695
60	108	691
61	109	687
62	111	683
63	112	679
64	114	677
65	116	675
66	117	673
67	119	670
68	120	667
69	122	665
70	124	663
71	126	665
72	128	663
73	130	660
74	131	657
75	133	654
76	134	651
77	136	650
78	138	650
79	140	648
80	141	646
81	143	646
82	145	643
83	146	640
84	148	638
85	150	636
86	152	636
87	154	633
88	156	634
89	158	633
90	160	631
91	161	628
92	163	625
93	164	623
94	167	624
95	169	623
96	170	621
97	172	620
98	174	618
99	176	617
100	178	615
101	179	612
102	181	609
103	183	609
104	185	609
105	186	606
106	188	603
107	190	601
108	191	600
109	193	597
110	194	595
111	196	592
112	197	590
113	199	588
114	201	585
115	202	583
116	204	583
117	206	582
118	208	579
119	209	577
120	211	575
121	213	573
122	215	571
123	216	569
124	219	569
125	220	567
126	222	565
127	223	562
128	225	560
129	226	557
130	228	555
131	229	553
132	231	551
133	233	549
134	234	547
135	236	546
136	238	544
137	239	542
138	241	539
139	242	537
140	244	535
141	245	533
142	247	531
143	249	530
144	250	527
145	252	525
146	254	523
147	255	522
148	257	521
149	259	518
150	260	516
151	262	514
152	263	512
153	265	510
154	267	508
155	268	505
156	270	504
157	271	501
158	273	499
159	274	498
160	276	497
161	278	494
162	279	492
163	281	491
164	283	489
165	284	487
166	286	486
167	288	484
168	289	481
169	291	479
170	292	477
171	294	475
172	296	474
173	297	471
174	299	470
175	300	467
176	302	466
177	303	464
178	305	462
179	306	460
180	308	458
181	309	456
182	311	455
183	313	453
184	315	452
185	317	450
186	318	448
187	320	446
188	322	444
189	323	443
190	325	441
191	326	439
192	328	437
193	330	436
194	332	434
195	334	432
196	335	431
197	337	429
198	339	428
199	341	426
200	342	424
201	344	422
202	346	421
203	347	419
204	349	417
205	350	415
206	352	413
207	353	411
208	355	410
209	357	408
210	358	406
211	360	404
212	361	402
213	363	400
214	365	399
215	366	397
216	368	395
217	370	394
218	371	392
219	373	390
220	374	388
221	376	387
222	379	386
223	381	384
224	383	383
225	385	381
226	387	380
227	388	378
228	389	376
229	391	374
230	393	372
231	394	370
232	396	369
233	397	367
234	399	365
235	400	363
236	402	361
237	403	359
238	405	357
239	407	356
240	409	354
241	411	353
242	412	351
243	414	349
244	415	348
245	417	346
246	419	344
247	421	343
248	423	341
249	425	340
250	426	338
251	428	336
252	429	334
253	431	332
254	433	331
255	434	329
256	436	327
257	437	325
258	439	324
259	441	322
260	442	320
261	443	318
262	445	316
263	447	314
264	448	313
265	450	311
266	451	309
267	453	307
268	455	306
269	456	304
270	458	302
271	459	300
272	461	299
273	462	297
274	464	295
275	465	293
276	467	292
277	468	290
278	470	288
279	472	286
280	473	284
281	475	283
282	476	281
283	477	279
284	479	277
285	480	275
286	482	273
287	483	272
288	485	270
289	487	268
290	488	267
291	490	265
292	491	263
293	493	261
294	494	259
295	496	258
296	497	256
297	499	254
298	500	252
299	502	251
300	503	249
301	505	247
302	506	245
303	508	244
304	509	242
305	510	240
306	512	238
307	513	236
308	515	235
309	516	233
310	518	231
311	520	230
312	521	228
313	522	226
314	524	224
315	526	223
316	528	221
317	529	219
318	531	218
319	532	216
320	534	214
321	535	212
322	537	211
323	538	209
324	540	207
325	542	206
326	543	204
327	545	202
328	546	201
329	548	199
330	550	197
331	551	196
332	553	194
333	554	192
334	556	190
335	557	189
336	558	187
337	560	185
338	562	184
339	563	182
340	565	180
341	566	179
342	568	177
343	569	175
344	571	173
345	573	172
346	574	170
347	576	168
348	578	167
349	579	165
350	581	163
351	582	162
352	584	160
353	585	158
354	587	157
355	588	155
356	589	153
357	591	151
358	592	150
359	594	148
360	595	146
361	596	145
362	598	143
363	599	141
364	601	140
365	603	138
366	604	136
367	606	135
368	607	133
369	609	131
370	611	130
371	612	128
372	614	126
373	615	125
374	617	123
375	618	121
376	620	120
377	621	118
378	623	116
379	624	115
380	626	113
381	627	111
382	629	110
383	630	108
384	632	106
385	633	105
386	635	103
387	636	101
388	638	100
389	639	98
390	641	96
391	642	95
392	644	93
393	645	91
394	647	90
395	648	88
396	650	86
397	651	85
398	652	83
399	654	81
400	655	80
401	657	78
402	658	76
403	660	75
404	661	73
405	663	71
406	664	70
407	665	68
408	667	66
409	668	65
410	670	63
411	671	61
412	673	60
413	674	58
414	676	57
415	678	55
416	679	53
417	681	52
418	684	50
419	685	48
420	687	47
421	689	45
422	690	44
423	692	42
424	694	40
425	695	39
426	697	37
427	699	35
428	700	34
429	702	32
430	703	31
431	705	29
432	706	27
433	708	26
434	709	24
435	711	22
436	712	21
437	714	19
438	715	17
439	717	16
440	719	14
441	720	13
442	722	11
443	723	9
444	725	8
445	726	6
446	728	4
447	729	3
448	731	1
449	732	0
